Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
228670,KR7228670006,레이,KOSDAQ,우량기업부,18270,2,-370,-1.98,18640,18760,18240,121619,2244311630,279239465610,15284043,KSQ
322310,KR7322310004,오로스테크놀로지,KOSDAQ,벤처기업부,29750,2,-750,-2.46,29750,30300,29300,88967,2655651400,278654624500,9366542,KSQ
126340,KR7126340009,비나텍,KOSDAQ,우량기업부,47750,2,-300,-0.62,48050,48350,47550,10194,487537550,277112206750,5803397,KSQ
382840,KR7382840007,원준,KOSDAQ,벤처기업부,18120,2,-300,-1.63,18400,18420,18110,42346,771764310,276721047720,15271581,KSQ
093520,KR7093520005,매커스,KOSDAQ,우량기업부,17090,2,-60,-0.35,16840,18020,16720,1154183,20221075780,276227242280,16163092,KSQ
031330,KR7031330004,에스에이엠티,KOSDAQ,우량기업부,2755,3,0,0.0,2755,2765,2740,95925,263938755,275486409585,99995067,KSQ
101670,KR7101670008,하이드로리튬,KOSDAQ,벤처기업부,5970,2,-220,-3.55,5920,6230,5850,2278826,13756007970,275171538450,46092385,KSQ
013120,KR7013120001,동원개발,KOSDAQ,우량기업부,3025,3,0,0.0,3025,3035,2995,28326,85320655,274694502500,90808100,KSQ
083790,KR7083790006,CG인바이츠,KOSDAQ,벤처기업부,3565,1,165,4.85,3435,3625,3405,396883,1407308920,274127758830,76894182,KSQ
289220,KR7289220006,자이언트스텝,KOSDAQ,기술성장기업부,12350,1,100,0.82,12250,12520,12100,64264,793993980,273203550750,22121745,KSQ
089600,KR7089600001,나스미디어,KOSDAQ,우량기업부,23600,1,650,2.83,22950,23800,22750,43770,1024993950,273008646800,11568163,KSQ
034810,KR7034810002,해성산업,KOSDAQ,우량기업부,8370,1,190,2.32,8190,8400,8180,37778,312825760,272500893090,32556857,KSQ
148150,KR7148150006,세경하이테크,KOSDAQ,우량기업부,7700,2,-350,-4.35,7930,8000,7570,665428,5124070320,272216891100,35352843,KSQ
204620,KR7204620009,글로벌텍스프리,KOSDAQ,중견기업부,4720,1,70,1.51,4655,4820,4630,829198,3952147930,268038642560,56787848,KSQ
084650,KR7084650001,랩지노믹스,KOSDAQ,우량기업부,3595,2,-45,-1.24,3635,3690,3585,708212,2565721430,266892764050,74239990,KSQ
017890,KR7017890005,한국알콜,KOSDAQ,우량기업부,12280,2,-90,-0.73,12310,12430,12200,83002,1020780590,265318732800,21605760,KSQ
