Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
097230,KR7097230007,HJ중공업,KOSPI,,3570,2,-25,-0.7,3590,3630,3555,39372,140791700,297289183170,83274281,STK
104700,KR7104700000,한국철강,KOSPI,,6980,1,50,0.72,6950,7040,6940,34731,242739060,296301000000,42450000,STK
071970,KR7071970008,STX중공업,KOSPI,,10310,2,-140,-1.34,10430,10510,10290,109797,1138268150,294378017390,28552669,STK
071055,KR7071051007,한국금융지주우,KOSPI,,50100,1,2300,4.81,47900,50200,47750,55723,2748535600,293498375100,5858251,STK
001230,KR7001230002,동국홀딩스,KOSPI,,9220,1,100,1.1,9080,9310,9050,257551,2363190720,293200453260,31800483,STK
102460,KR7102460003,이연제약,KOSPI,,15730,1,280,1.81,15450,15970,15450,36180,571897420,292370537030,18586811,STK
004560,KR7004560009,현대비앤지스틸,KOSPI,,19340,1,500,2.65,18840,19540,18820,177633,3429601760,291624204740,15078811,STK
095720,KR7095720009,웅진씽크빅,KOSPI,,2515,1,35,1.41,2480,2525,2470,115622,289002460,290497552275,115505985,STK
122900,KR7122900004,아이마켓코리아,KOSPI,,8650,1,70,0.82,8600,8680,8600,22719,196231390,289159466000,33428840,STK
077970,KR7077970002,STX엔진,KOSPI,,12550,1,250,2.03,12400,12580,12300,25582,319158420,288761745200,23008904,STK
024720,KR7024720005,한국콜마홀딩스,KOSPI,,7840,1,60,0.77,7800,7910,7790,46089,361714660,288273036800,36769520,STK
138490,KR7138490008,코오롱플라스틱,KOSPI,,7540,1,10,0.13,7540,7580,7510,27543,208096550,286520000000,38000000,STK
003580,KR7003580008,HLB글로벌,KOSPI,,6760,1,500,7.99,6320,7110,6180,1349675,9149615660,286490645480,42380273,STK
005500,KR7005500004,삼진제약,KOSPI,,20600,3,0,0.0,20600,20800,20550,16239,335325200,286340000000,13900000,STK
005390,KR7005390000,신성통상,KOSPI,,1992,1,86,4.51,1898,1995,1894,791567,1554288226,286267112880,143708390,STK
016580,KR7016580003,환인제약,KOSPI,,15300,1,350,2.34,15070,15390,15050,39291,600275670,284581071000,18600070,STK
298000,KR7298000001,효성화학,KOSPI,,74800,1,300,0.4,79900,79900,74700,12431,944651300,283627462800,3791811,STK
009680,KR7009680000,모토닉,KOSPI,,8590,1,190,2.26,8360,8640,8360,30024,256754610,283470000000,33000000,STK
007860,KR7007860000,서연,KOSPI,,12060,2,-370,-2.98,12220,12720,11880,810412,9939007490,283166918640,23479844,STK
272550,KR7272550005,삼양패키징,KOSPI,,17890,1,190,1.07,17790,18010,17550,27075,480968020,282459324190,15788671,STK
026890,KR7026890004,스틱인베스트먼트,KOSPI,,6740,3,0,0.0,6740,6770,6670,28147,189205770,280910899500,41678175,STK
007570,KR7007570005,일양약품,KOSPI,,14650,1,180,1.24,14470,14690,14370,31509,460635480,279604977600,19085664,STK
034830,KR7034830000,한국토지신탁,KOSPI,,1107,1,12,1.1,1095,1108,1095,250329,276036657,279505577610,252489230,STK
000020,KR7000020008,동화약품,KOSPI,,10000,1,10,0.1,10010,10030,9950,31825,317871350,279314700000,27931470,STK
322000,KR7322000001,HD현대에너지솔루션,KOSPI,,24850,2,-300,-1.19,25050,25200,24700,29081,724182250,278320000000,11200000,STK
009160,KR7009160003,SIMPAC,KOSPI,,4235,1,10,0.24,4225,4350,4225,94794,406357555,277094000260,65429516,STK
053210,KR7053210001,스카이라이프,KOSPI,,5770,1,50,0.87,5710,5780,5700,30189,173690770,274207450350,47522955,STK
008350,KR7008350001,남선알미늄,KOSPI,,2110,2,-50,-2.31,2140,2150,2100,830238,1762377105,272356879900,129079090,STK
115390,KR7115390007,락앤락,KOSPI,,6270,1,320,5.38,5920,6310,5910,173350,1069375260,271656596970,43326411,STK
002150,KR7002150001,도화엔지니어링,KOSPI,,7950,2,-40,-0.5,7950,8010,7940,27858,222006650,268074000000,33720000,STK
037270,KR7037270006,YG PLUS,KOSPI,,4225,2,-15,-0.35,4250,4265,4205,109597,463393395,267989257250,63429410,STK
226320,KR7226320000,잇츠한불,KOSPI,,12160,2,-20,-0.16,12300,12300,12130,8181,99662720,266660470400,21929315,STK
001270,KR7001270008,부국증권,KOSPI,,25650,1,900,3.64,24750,26000,24750,8960,228494450,265987575900,10369886,STK
452260,KR7452260003,한화갤러리아,KOSPI,,1369,1,47,3.56,1335,1375,1323,2421037,3293322048,265393806090,193859610,STK
213500,KR7213500002,한솔제지,KOSPI,,11140,1,130,1.18,10990,11180,10990,50883,565516220,265138416640,23800576,STK
001460,KR7001460005,BYC,KOSPI,,423000,2,-500,-0.12,417000,423500,417000,97,40782500,264212145000,624615,STK
130660,KR7130660004,한전산업,KOSPI,,8070,1,360,4.67,7750,8180,7730,536772,4318358570,263082000000,32600000,STK
002900,KR7002900009,TYM,KOSPI,,5830,1,10,0.17,5810,5870,5790,86277,502691160,262647073480,45050956,STK
194370,KR7194370003,제이에스코퍼레이션,KOSPI,,19680,2,-820,-4.0,20400,20400,19660,73594,1465518390,262444627680,13335601,STK
004360,KR7004360004,세방,KOSPI,,13590,1,370,2.8,13220,13680,13190,130451,1761263500,262405097100,19308690,STK
011500,KR7011500006,한농화성,KOSPI,,16750,1,20,0.12,16500,16900,16500,157616,2634805660,261920453500,15637042,STK
016590,KR7016590002,신대양제지,KOSPI,,6470,1,110,1.73,6350,6500,6330,83177,535478490,260726895400,40297820,STK
035150,KR7035150002,백산,KOSPI,,11550,2,-70,-0.6,11610,11700,11450,60446,699911680,260048250000,22515000,STK
018470,KR7018470005,조일알미늄,KOSPI,,2045,2,-25,-1.21,2080,2080,2040,350897,720573730,258961869445,126631721,STK
011760,KR7011760006,현대코퍼레이션,KOSPI,,19570,1,570,3.0,19090,19740,19000,39469,769407900,258890864620,13228966,STK
071840,KR7071840003,롯데하이마트,KOSPI,,10870,1,180,1.68,10690,10880,10690,22582,243814310,256615829440,23607712,STK
002810,KR7002810000,삼영무역,KOSPI,,13770,1,120,0.88,13650,14000,13630,7252,100434380,254289873960,18466948,STK
036420,KR7036420008,콘텐트리중앙,KOSPI,,13110,1,150,1.16,12840,13180,12840,38236,499932930,252528857880,19262308,STK
