ENER_NO,COMPLEXCODE,ENER_DT,HEAT_AMOUNT,HEAT_USAGE,WATERHOT_AMOUNT,WATERHOT_USAGE,GAS_AMOUNT,GAS_USAGE,ELEC_AMOUNT,ELEC_USAGE,WATER_AMOUNT,WATER_USAGE
247,A10023535,202305,0,0,0,0,0,0,44071810,198620,9822300,9537
248,A10023535,202306,0,0,0,0,0,0,50880970,224333,11973620,9782
249,A10023535,202307,0,0,0,0,0,0,75198090,294549,11860420,10405
250,A10023535,202308,0,0,0,0,0,0,71740870,318838,12150740,10127
251,A10023535,202309,0,0,0,0,0,0,59051350,238216,11651560,9553
252,A10023535,202310,0,0,0,0,0,0,46832940,195895,11778740,9975
253,A10023535,202311,0,0,0,0,0,0,49069620,199208,11132460,9686
254,A10023535,202312,0,0,0,0,0,0,62925910,216462,11033260,10183
255,A10023656,201401,0,0,0,0,0,0,0,0,0,0
256,A10023656,201402,0,0,0,0,0,0,0,0,0,0
257,A10023656,201403,0,0,0,0,0,0,0,0,0,0
258,A10023656,201404,0,0,0,0,0,0,0,0,0,0
259,A10023656,201405,0,0,0,0,0,0,0,0,0,0
260,A10023656,201406,0,0,0,0,0,0,0,0,0,0
261,A10023656,201407,0,0,0,0,0,0,0,0,0,0
262,A10023656,201408,0,0,0,0,0,0,0,0,0,0
263,A10023656,201409,0,0,0,0,0,0,0,0,0,0
264,A10023656,201410,0,0,0,0,0,0,0,0,0,0
265,A10023656,201411,0,0,0,0,0,0,0,0,0,0
266,A10023656,201412,0,0,0,0,0,0,0,0,0,0
267,A10023656,201501,0,0,0,0,0,0,0,0,0,0
268,A10023656,201502,0,0,0,0,0,0,0,0,0,0
269,A10023656,201503,0,0,0,0,0,0,0,0,0,0
270,A10023656,201504,0,0,0,0,0,0,0,0,0,0
271,A10023656,201505,0,0,0,0,0,0,0,0,0,0
272,A10023656,201506,0,0,0,0,0,0,0,0,0,0
273,A10023656,201507,0,0,0,0,0,0,0,0,0,0
274,A10023656,201508,0,0,0,0,0,0,0,0,0,0
275,A10023656,201509,0,0,0,0,0,0,0,0,0,0
276,A10023656,201510,0,0,0,0,0,0,0,0,0,0
277,A10023656,201511,0,0,0,0,0,0,0,0,0,0
278,A10023656,201512,0,0,0,0,0,0,0,0,0,0
279,A10023656,201601,0,0,0,0,0,0,0,0,0,0
280,A10023656,201602,0,0,0,0,0,0,0,0,0,0
281,A10023656,201603,0,0,0,0,0,0,0,0,0,0
282,A10023656,201604,0,0,0,0,0,0,0,0,0,0
283,A10023656,201605,0,0,0,0,0,0,0,0,0,0
284,A10023656,201606,0,0,0,0,0,0,0,0,0,0
285,A10023656,201607,0,0,0,0,0,0,0,0,0,0
286,A10023656,201608,0,0,0,0,0,0,0,0,0,0
287,A10023656,201609,0,0,0,0,0,0,0,0,0,0
288,A10023656,201610,0,0,0,0,0,0,0,0,0,0
289,A10023656,201611,0,0,0,0,0,0,0,0,0,0
290,A10023656,201612,0,0,0,0,0,0,0,0,0,0
291,A10023656,201701,0,0,0,0,0,0,0,0,0,0
292,A10023656,201702,0,0,0,0,0,0,0,0,0,0
293,A10023656,201703,0,0,0,0,0,0,0,0,0,0
294,A10023656,201704,0,0,0,0,0,0,0,0,0,0
295,A10023656,201705,0,0,0,0,0,0,0,0,0,0
296,A10023656,201706,0,0,0,0,0,0,0,0,0,0
297,A10023656,201707,0,0,0,0,0,0,0,0,0,0
298,A10023656,201708,0,0,0,0,0,0,0,0,0,0
299,A10023656,201709,0,0,0,0,0,0,0,0,0,0
300,A10023656,201710,0,0,0,0,0,0,0,0,0,0
301,A10023656,201711,0,0,0,0,0,0,0,0,0,0
302,A10023656,201712,0,0,0,0,0,0,0,0,0,0
303,A10023656,201801,0,0,0,0,0,0,0,0,0,0
304,A10023656,201802,0,0,0,0,0,0,0,0,0,0
305,A10023656,201803,0,0,0,0,0,0,0,0,0,0
306,A10023656,201804,0,0,0,0,0,0,0,0,0,0
307,A10023656,201805,0,0,0,0,0,0,0,0,0,0
308,A10023656,201806,0,0,0,0,0,0,0,0,0,0
309,A10023656,201807,0,0,0,0,0,0,0,0,0,0
310,A10023656,201808,0,0,0,0,0,0,0,0,0,0
311,A10023656,201809,0,0,0,0,0,0,0,0,0,0
312,A10023656,201810,0,0,0,0,0,0,0,0,0,0
313,A10023656,201811,0,0,0,0,0,0,0,0,0,0
314,A10023656,201812,0,0,0,0,0,0,0,0,0,0
315,A10023656,201901,0,0,0,0,0,0,0,0,0,0
316,A10023656,201902,0,0,0,0,0,0,0,0,0,0
317,A10023656,201903,0,0,0,0,0,0,0,0,0,0
318,A10023656,201904,0,0,0,0,0,0,0,0,0,0
319,A10023656,201905,0,0,0,0,0,0,0,0,0,0
320,A10023656,201906,0,0,0,0,0,0,0,0,0,0
321,A10023656,201907,0,0,0,0,0,0,0,0,0,0
322,A10023656,201908,0,0,0,0,0,0,0,0,0,0
323,A10023656,201909,0,0,0,0,0,0,0,0,0,0
324,A10023656,201910,0,0,0,0,0,0,0,0,0,0
325,A10023656,201911,0,0,0,0,0,0,0,0,0,0
326,A10023656,201912,0,0,0,0,0,0,0,0,0,0
327,A10023656,202001,0,0,0,0,0,0,0,0,0,0
328,A10023656,202002,0,0,0,0,0,0,0,0,0,0
329,A10023656,202003,0,0,0,0,0,0,0,0,0,0
330,A10023656,202004,0,0,0,0,0,0,0,0,0,0
331,A10023656,202005,0,0,0,0,0,0,0,0,0,0
332,A10023656,202006,0,0,0,0,0,0,0,0,0,0
333,A10023656,202007,0,0,0,0,0,0,0,0,0,0
334,A10023656,202008,0,0,0,0,0,0,0,0,0,0
335,A10023656,202009,0,0,0,0,0,0,0,0,0,0
336,A10023656,202010,0,0,0,0,0,0,0,0,0,0
337,A10023656,202011,0,0,0,0,0,0,0,0,0,0
338,A10023656,202012,0,0,0,0,0,0,0,0,0,0
